Фамилия;Имя;Отчество;Пол;Возраст;Стаж вождения;Марка автомобиля;Тип страхования;Легкое ДТП;Крупное ДТП;Угон, ДТП без востановления авто;Выплата, руб.
Васильев;Даниил;Егорович;муж;41;3;Hyundai Creta;частичное;1;0;0;205624.3
Киселева;Милослава;Руслановна;жен;33;14;Lada Vesta;частичное;1;0;0;150000
Смирнов;Егор;Матвеевич;муж;38;4;Lada 4x4;частичное;1;0;0;93531.3
Петров;Кирилл;Иванович;муж;33;7;KIA Rio;частичное;0;0;0;0
Григорьева ;Марьяна;Семеновна;жен;47;25;Renault Kaptur;частичное;0;0;0;0
Никитина;Дарина;Тимофеевна;жен;31;13;Lada X-Ray;частичное;0;0;0;0
Иванов;Тимур;Александрович;муж;43;15;VW Polo;полное;0;0;0;0
Александрова ;Камила;Владимировна;жен;30;8;VW Polo;частичное;0;0;0;0
Козлов ;Артём;Владиславович;муж;32;14;Mazda CX-5;частичное;0;0;0;0
Козлова;Стася;Дмитриевна;жен;22;0;Chevrolet NIVA;частичное;1;0;0;30164
Попова;Ульяна;Матвеевна;жен;56;25;Lada Granta;частичное;0;0;0;0
Кузнецов;Андрей;Даниилович;муж;28;2;Lada Vesta;частичное;1;0;0;90794.1
Соловьев ;Максим;Семенович;муж;18;0;Mazda CX-5;частичное;0;0;0;0
Петрова;Елена;Денисовна;жен;28;5;Lada X-Ray;частичное;0;0;0;0
Поляков ;Максим;Максимович;муж;48;26;Lada Largus;частичное;0;0;0;0
Романов ;Артём;Михайлович;муж;60;39;Hyundai Solaris;частичное;1;0;0;38498.5
Григорьев ;Владислав;Павлович;муж;41;20;Skoda Octavia A7;частичное;0;0;0;0
Лебедева;Виктория;Марковна;жен;40;16;Lada Granta;частичное;1;0;0;23042.6
Васильев;Роман;Даниилович;муж;31;3;Hyundai Solaris;частичное;0;0;0;0
Лебедев ;Елисей;Сергеевич;муж;48;24;Toyota RAV 4;полное;0;0;0;0
Смирнова;Милана;Демидовна;жен;61;37;Nissan Qashqai;частичное;0;0;0;0
Федоров ;Демид;Тимофеевич;муж;74;48;Lada Granta;частичное;0;0;0;0
Васильева;Софья;Матвеевна;жен;46;26;Hyundai Creta;частичное;0;0;0;0
Волкова;Елена;Алановна;жен;72;48;Nissan Qashqai;частичное;0;0;0;0
Семенова ;София;Денисовна;жен;68;42;Lada 4x4;полное;0;0;0;0
Воробьев ;Арсений;Алексеевич;муж;48;27;Hyundai Solaris;полное;1;0;0;12238
Иванов;Алексей;Андреевич;муж;53;32;Renault Kaptur;полное;1;0;0;59600.5
Орлова;Дарья;Тимуровна;жен;31;11;Lada Vesta;полное;0;0;0;0
Смирнова;Елена;Максимовна;жен;73;49;Mazda CX-5;частичное;0;0;0;0
Белова;Милена;Кирилловна;жен;69;46;KIA Rio;частичное;0;0;0;0
Андреев ;Иван;Русланович;муж;19;0;Hyundai Creta;частичное;0;0;0;0
Николаев ;Дмитрий;Глебович;муж;39;12;KIA Rio;частичное;1;0;0;7500
Лебедев ;Тимофей;Тимофеевич;муж;58;34;Toyota RAV 4;частичное;0;0;0;0
Васильева;Стася;Артемовна;жен;48;29;VW Tiguan;частичное;0;0;0;0
Орлов ;Сергей;Иванович;муж;33;10;Chevrolet NIVA;полное;0;0;0;0
Михайлова;Кристина;Максимовна;жен;18;0;VW Tiguan;полное;0;0;0;0
Кузнецов;Александр;Елисеевич;муж;52;29;KIA Rio;полное;1;0;0;28845.4
Волков ;Денис;Тимофеевич;муж;56;32;VW Polo;полное;0;0;0;0
Борисов ;Даниил;Демидович;муж;34;12;Hyundai Solaris;частичное;0;0;0;0
Михайлова;Мария;Глебовна;жен;29;8;Renault Duster;полное;0;0;0;0
Павлов ;Дмитрий;Сергеевич;муж;32;13;VW Polo;частичное;0;0;0;0
Орлова;Мария;Глебовна;жен;23;1;VW Polo;частичное;1;0;0;11101.1
Орлова;Елизавета;Ильична;жен;71;53;Renault Sandero;частичное;0;0;0;0
Иванова;Алиса;Романовна;жен;19;1;Hyundai Creta;частичное;0;0;0;0
Смирнов;Матвей;Арсеньевич;муж;42;23;Lada 4x4;частичное;0;0;0;0
Волков ;Максим;Даниилович;муж;31;6;Renault Sandero;полное;0;0;1;1515185.7
Борисова;Карина;Савельевна;жен;38;7;Lada Kalina;частичное;1;0;0;16095.3
Смирнов;Марк;Маркович;муж;86;64;Lada Granta;частичное;0;0;0;0
Кузьмин ;Андрей;Демидович;муж;79;57;VW Polo;полное;0;0;0;0
Лебедев ;Елисей;Ярославович;муж;29;11;VW Polo;полное;1;0;0;22641.7
Михайлов;Роман;Алексеевич;муж;21;0;Lada Granta;полное;0;0;0;0
Соловьев ;Замир;Маркович;муж;24;4;Lada 4x4;полное;0;0;0;0
Поляков ;Марк;Никитич;муж;39;13;Renault Logan;полное;0;0;0;0
Михайлов;Матвей;Романович;муж;36;12;Renault Kaptur;частичное;0;1;0;336174.3
Дмитриев ;Роман;Тимурович;муж;59;37;Toyota RAV 4;частичное;0;0;0;0
Орлова;Екатерина;Владиславовна;жен;29;6;Lada Largus;полное;1;0;0;23200.4
Борисова;Юлия;Аскаровна;жен;36;17;Lada Vesta;полное;1;0;0;19946.2
Смирнова;Мария;Руслановна;жен;53;31;Lada Granta;частичное;0;0;1;0
Попова;Полина;Демидовна;жен;35;14;Skoda Rapid;частичное;0;0;0;0
Соколов;Тимофей;Андреевич;муж;75;51;Hyundai Creta;полное;0;1;0;227433.6
Воробьева;Анна;Андреевна;жен;55;33;Lada Kalina;полное;0;0;0;0
Петров;Дмитрий;Александрович;муж;37;9;Lada Vesta;частичное;0;0;0;0
Захарова;Ульяна;Семеновна;жен;36;13;Renault Duster;полное;1;0;0;12129
Алексеев ;Елисей;Даниилович;муж;30;12;Renault Logan;частичное;0;0;0;0
Дмитриев ;Константин;Александрович;муж;38;8;Lada Largus;частичное;1;0;0;10265.9
Семенов ;Давид;Тимурович;муж;39;18;Hyundai Creta;частичное;0;0;0;0
Полякова;Диана;Дмитриевна;жен;20;0;KIA Rio;полное;1;0;0;114987.5
Егорова;Милана;Арсеньевна;жен;25;0;KIA Rio;полное;1;0;0;52680.8
Морозов ;Матвей;Артемович;муж;46;25;Toyota RAV 4;частичное;0;0;0;0
Антонов ;Михаил;Богданович;муж;27;3;Renault Sandero;полное;0;0;0;0
Иванов;Тимофей;Кириллович;муж;21;0;Datsun on-DO;полное;0;0;0;0
Борисов ;Андрей;Артемович;муж;77;56;Renault Duster;полное;0;0;0;0
Федорова;Амелия;Данииловна;жен;19;0;Skoda Rapid;частичное;0;0;0;0
Орлов ;Артём;Русланович;муж;37;14;Hyundai Solaris;частичное;0;0;0;0
Семенова ;Полина;Михайловна;жен;52;24;Lada Granta;частичное;0;0;0;0
Никитин ;Алан;Русланович;муж;58;34;Hyundai Solaris;частичное;0;0;0;0
Новиков;Арсений;Глебович;муж;44;26;Lada Kalina;частичное;0;0;0;0
Романов ;Кирилл;Даниилович;муж;54;36;Toyota RAV 4;полное;0;0;0;0
Степанова ;Карина;Сергеевна;жен;37;17;Renault Kaptur;частичное;0;0;0;0
Попова;Валерия;Аскаровна;жен;46;22;Lada 4x4;полное;0;0;0;0
Соловьев ;Егор;Михайлович;муж;74;53;Renault Kaptur;частичное;0;0;0;0
Иванова;Мария;Евгеньевна;жен;32;10;Lada Vesta;частичное;0;0;0;0
Соколова;Есения;Владиславовна;жен;41;7;Hyundai Solaris;частичное;0;0;0;0
Новиков;Кирилл;Елисеевич;муж;77;43;Lada X-Ray;полное;0;0;0;0
Михайлова;Вероника;Савельевна;жен;24;0;Lada Largus;частичное;0;0;0;0
Кузнецова;Виктория;Константиновна;жен;42;17;Toyota Camry;полное;0;0;0;0
Попов;Владислав;Даниилович;муж;60;40;Lada Granta;частичное;0;0;0;0
Соколов;Евгений;Владиславович;муж;60;28;Lada 4x4;частичное;0;0;0;0
Лебедева;Карина;Ивановна;жен;42;11;Lada X-Ray;частичное;0;0;0;0
Смирнов;Роман;Алексеевич;муж;23;1;Chevrolet NIVA;полное;0;0;0;0
Дмитриева;Кира;Константиновна;жен;37;3;Nissan X-Trail;частичное;1;0;0;15000
Павлов ;Алексей;Марселевич;муж;51;31;Renault Duster;частичное;0;0;0;0
Федоров ;Иван;Артемович;муж;37;12;Hyundai Creta;полное;0;0;0;0
Кузнецов;Роман;Марселевич;муж;33;13;Lada X-Ray;частичное;0;0;0;0
Степанова ;Алина;Андреевна;жен;20;1;Hyundai Solaris;частичное;0;0;0;0
Морозов ;Алексей;Сергеевич;муж;61;40;Hyundai Creta;частичное;0;0;0;0
Смирнова;Анастасия;Ивановна;жен;47;26;Lada Vesta;полное;1;0;0;68375.9
Васильева;Милана;Максимовна;жен;42;18;VW Tiguan;полное;0;0;0;0
Смирнова;Арина;Тимофеевна;жен;63;41;Toyota Camry;частичное;1;0;0;15000
Соколова;Есения;Арсеньевна;жен;47;25;Toyota Camry;частичное;0;0;0;0
Андреев ;Александр;Алексеевич;муж;45;22;KIA Rio;частичное;0;0;0;0
Романова ;Камила;Аскаровна;жен;50;29;Hyundai Solaris;частичное;0;0;0;0
Лебедев ;Семён;Ярославович;муж;74;52;Hyundai Creta;частичное;1;0;0;102642
Соловьев ;Дмитрий;Глебович;муж;19;0;Skoda Octavia A7;полное;0;0;0;0
Попов;Глеб;Иванович;муж;43;18;Nissan X-Trail;частичное;0;0;0;0
Попова;Анастасия;Аскаровна;жен;20;0;Renault Logan;частичное;0;0;0;0
Орлов ;Алексей;Тимофеевич;муж;33;11;Lada Vesta;частичное;0;0;0;0
Гусева;Милана;Максимовна;жен;33;14;Lada 4x4;частичное;0;0;0;0
Федоров ;Ярослав;Александрович;муж;38;19;Lada Granta;частичное;0;0;0;0
Романов ;Денис;Сергеевич;муж;38;8;Renault Logan;полное;0;0;0;0
Федоров ;Иван;Егорович;муж;46;21;Nissan X-Trail;частичное;0;0;0;0
Иванова;Алина;Романовна;жен;22;0;Lada Vesta;частичное;0;0;0;0
Новикова;Мария;Никитична;жен;28;6;Lada Largus;полное;0;0;0;0
Зайцев ;Алексей;Дамирович;муж;19;0;Toyota RAV 4;полное;1;0;0;162969.2
Федорова;Милана;Егоровна;жен;42;8;Lada Vesta;частичное;1;0;0;48610.4
Михайлов;Максим;Кириллович;муж;49;28;Lada Granta;полное;0;0;0;0
Захаров ;Арсений;Арсеньевич;муж;56;30;Hyundai Solaris;частичное;0;0;0;0
Кузьмин ;Матвей;Михайлович;муж;41;12;KIA Rio;полное;0;0;0;0
Новиков;Савелий;Марселевич;муж;56;24;Lada X-Ray;частичное;0;0;0;0
Семенов ;Тимофей;Тимофеевич;муж;29;5;Lada Granta;частичное;1;0;0;5765.8
Семенова ;Диана;Данииловна;жен;53;27;Skoda Rapid;частичное;0;0;0;0
Смирнова;Дарина;Романовна;жен;35;17;Renault Sandero;частичное;0;0;0;0
Морозов ;Роман;Ярославович;муж;34;16;Hyundai Solaris;частичное;0;0;0;0
Зайцева;Вероника;Глебовна;жен;49;23;Hyundai Solaris;полное;0;0;0;0
Соколова;Ева;Алексеевна;жен;33;10;Lada X-Ray;частичное;0;1;0;50000
Васильева;Диана;Александровна;жен;65;39;Lada Vesta;частичное;0;0;0;0
Белов ;Тимофей;Денисович;муж;54;30;Lada Vesta;частичное;0;0;1;0
Федоров ;Никита;Сергеевич;муж;38;18;Renault Kaptur;частичное;0;0;0;0
Захарова;Дарина;Никитична;жен;65;42;Renault Duster;полное;0;0;0;0
Андреев ;Ярослав;Иванович;муж;31;2;Nissan X-Trail;частичное;1;0;0;17472.6
Петрова;Мария;Михайловна;жен;19;0;Lada Granta;полное;0;0;0;0
Смирнова;Анна;Данииловна;жен;21;0;Chevrolet NIVA;частичное;1;0;0;150000
Морозова;Алина;Глебовна;жен;55;30;Lada Kalina;частичное;0;0;0;0
Федорова;Дарья;Глебовна;жен;53;33;Toyota Camry;полное;0;0;0;0
Васильев;Максим;Максимович;муж;51;29;Nissan X-Trail;частичное;0;0;0;0
Петрова;Юлия;Артемовна;жен;49;21;Lada X-Ray;частичное;0;0;0;0
Никитин ;Тимур;Елисеевич;муж;66;34;Hyundai Solaris;частичное;0;0;0;0
Андреева;Милана;Максимовна;жен;60;37;Renault Duster;частичное;0;0;0;0
Новиков;Андрей;Тимофеевич;муж;32;7;KIA Rio;частичное;0;0;0;0
Фролов ;Андрей;Денисович;муж;55;31;Mazda CX-5;частичное;0;0;0;0
Петров;Владислав;Маркович;муж;35;15;Lada Kalina;частичное;0;0;0;0
Иванов;Максим;Матвеевич;муж;39;19;Lada Largus;полное;0;0;0;0
Кузнецов;Михаил;Егорович;муж;32;4;VW Tiguan;частичное;0;0;0;0
Морозова;Румия;Матвеевна;жен;63;45;Lada Granta;частичное;0;0;0;0
Павлова;Полина;Никитична;жен;24;0;Toyota Camry;частичное;1;0;0;162255.4
Никитин ;Богдан;Алексеевич;муж;44;22;Nissan X-Trail;полное;1;0;0;47119.4
Волков ;Антон;Сергеевич;муж;39;5;Nissan X-Trail;полное;0;0;0;0
Васильев;Роман;Вадимович;муж;50;26;Datsun on-DO;полное;0;0;0;0
Павлов ;Андрей;Егорович;муж;31;13;KIA Rio;частичное;1;0;0;139763.7
Петров;Максим;Матвеевич;муж;27;6;Renault Logan;частичное;0;0;0;0
Егорова;Милена;Максимовна;жен;47;3;Chevrolet NIVA;частичное;0;0;0;0
Козлов ;Денис;Романович;муж;33;14;Renault Logan;частичное;1;0;0;3750
Лебедева;Ева;Александровна;жен;73;53;Hyundai Solaris;частичное;0;0;0;0
Степанова ;Стася;Максимовна;жен;21;2;Lada Vesta;полное;0;0;0;0
Макаров ;Егор;Тимофеевич;муж;25;3;Datsun on-DO;частичное;0;0;0;0
Семенов ;Артём;Арсеньевич;муж;23;0;Nissan X-Trail;полное;0;0;0;0
Зайцева;Стася;Ильична;жен;45;25;KIA Rio;частичное;1;0;0;18328.6
Козлова;Афина;Егоровна;жен;47;16;Lada Granta;частичное;1;0;0;13775
Воробьев ;Денис;Матвеевич;муж;72;51;VW Tiguan;частичное;0;0;0;0
Романов ;Денис;Матвеевич;муж;26;4;VW Tiguan;частичное;1;0;0;43428.9
Зайцева;Анна;Павловна;жен;31;3;Lada Vesta;частичное;0;0;0;0
Зайцева;Дарина;Владиславовна;жен;34;14;Renault Logan;полное;0;0;0;0
Дмитриев ;Андрей;Кириллович;муж;21;0;Toyota Camry;частичное;1;0;0;191727
Соколов;Владимир;Артемович;муж;54;30;Renault Duster;частичное;0;0;0;0
Смирнов;Роман;Демидович;муж;31;7;Renault Kaptur;полное;0;0;0;0
Белов ;Богдан;Дмитриевич;муж;42;5;Renault Logan;частичное;0;0;0;0
Козлов ;Аскар;Тимофеевич;муж;31;10;KIA Rio;частичное;0;0;0;0
Александров ;Никита;Богданович;муж;54;35;VW Polo;полное;0;0;0;0
Петров;Денис;Андреевич;муж;62;32;Lada Granta;частичное;0;0;0;0
Соколов;Максим;Даниилович;муж;47;27;Nissan Qashqai;частичное;0;0;0;0
Кузнецова;Стася;Демидовна;жен;78;58;Toyota RAV 4;полное;0;0;0;0
Захарова;София;Тимофеевна;жен;55;21;Chevrolet NIVA;полное;0;0;0;0
Степанов ;Богдан;Сергеевич;муж;59;38;Renault Kaptur;полное;0;0;0;0
Михайлов;Елисей;Иванович;муж;32;8;Nissan X-Trail;полное;0;0;0;0
Морозов ;Кирилл;Романович;муж;33;14;Renault Logan;частичное;0;0;0;0
Павлова;Дарья;Егоровна;жен;38;17;Chevrolet NIVA;частичное;0;0;0;0
Петрова;Стася;Андреевна;жен;30;2;VW Tiguan;полное;0;0;0;0
Кузьмин ;Максим;Марселевич;муж;50;27;Hyundai Creta;частичное;0;0;0;0
Романова ;Анна;Арсеньевна;жен;18;0;KIA Rio;полное;0;0;0;0
Новикова;Дарья;Арсеньевна;жен;52;33;Lada Vesta;полное;0;0;0;0
Орлов ;Денис;Маркович;муж;28;5;Renault Sandero;частичное;0;0;0;0
Николаев ;Арсений;Алексеевич;муж;75;41;VW Polo;полное;0;0;0;0
Соколов;Артур;Маркович;муж;40;20;Lada Granta;полное;0;0;0;0
Козлова;Ева;Марковна;жен;55;35;Lada Vesta;полное;0;0;0;0
Андреев ;Денис;Иванович;муж;65;44;Lada Granta;полное;1;0;0;5504.8
Соколова;Ксения;Михайловна;жен;52;27;Nissan Qashqai;частичное;0;0;0;0
Андреев ;Илья;Маркович;муж;36;3;Lada Kalina;полное;0;0;0;0
Попов;Алексей;Маркович;муж;25;3;Hyundai Creta;полное;0;0;0;0
Орлова;Злата;Семеновна;жен;68;48;Renault Sandero;полное;0;0;0;0
Лебедев ;Тимофей;Тимофеевич;муж;22;0;Renault Logan;частичное;0;0;0;0
Попов;Илья;Михайлович;муж;51;30;Lada 4x4;частичное;0;0;0;0
Смирнов;Никита;Матвеевич;муж;19;1;Lada Kalina;полное;0;0;0;0
Кузнецов;Евгений;Никитич;муж;39;14;Lada Largus;частичное;0;0;0;0
Смирнов;Алексей;Андреевич;муж;73;39;Lada 4x4;полное;0;0;0;0
Семенов ;Кирилл;Маркович;муж;25;5;Lada Granta;частичное;0;0;0;0
Кузьмина;Карина;Кирилловна;жен;46;28;KIA Rio;частичное;0;0;0;0
Андреев ;Сергей;Матвеевич;муж;35;17;Hyundai Creta;частичное;0;0;0;0
Степанов ;Тимофей;Ярославович;муж;57;25;Lada 4x4;полное;0;0;0;0
Кузнецов;Никита;Тимофеевич;муж;27;3;Lada 4x4;частичное;0;0;0;0
Васильева;Елена;Руслановна;жен;43;13;Renault Kaptur;полное;0;0;0;0
Попов;Артём;Константинович;муж;36;15;Chevrolet NIVA;частичное;1;0;0;42686.3
Кузнецов;Арсений;Ярославович;муж;21;0;Lada Largus;частичное;0;0;0;0
Воробьев ;Владимир;Демидович;муж;38;20;Renault Kaptur;полное;0;0;0;0
Иванов;Игорь;Павлович;муж;69;50;Lada X-Ray;частичное;1;0;0;7500
Соколова;Милана;Тимуровна;жен;56;34;Renault Sandero;частичное;0;0;0;0
Гусев ;Евгений;Русланович;муж;37;4;Mazda CX-5;частичное;0;0;0;0
Захаров ;Егор;Маркович;муж;46;21;Lada Kalina;полное;0;0;0;0
Васильев;Богдан;Артемович;муж;83;59;Nissan X-Trail;частичное;0;0;0;0
Федоров ;Дмитрий;Тимурович;муж;39;18;Lada Granta;частичное;1;0;0;42217.5
Романова ;Кира;Богдановна;жен;62;36;Hyundai Creta;частичное;0;0;0;0
Никитин ;Руслан;Даниилович;муж;61;35;Lada 4x4;частичное;0;0;0;0
Новиков;Владислав;Иванович;муж;39;9;Hyundai Solaris;полное;1;0;0;104745.5
Гусев ;Руслан;Денисович;муж;41;21;Lada Granta;полное;0;0;1;957977.4
Кузнецова;Мария;Тимуровна;жен;19;0;Lada Largus;полное;1;0;0;38229.6
Попов;Тимур;Богданович;муж;68;34;Renault Kaptur;частичное;0;0;0;0
Новиков;Денис;Кириллович;муж;79;52;Lada Vesta;полное;0;0;0;0
Сергеев ;Матвей;Демидович;муж;37;17;VW Polo;частичное;1;0;0;124073.1
Петрова;Алина;Андреевна;жен;52;10;Chevrolet NIVA;частичное;0;0;0;0
Сергеев ;Дмитрий;Матвеевич;муж;43;16;VW Polo;частичное;0;0;0;0
Волкова;Дарья;Тимуровна;жен;44;6;Lada Vesta;полное;1;0;0;9901.9
Кузнецова;Алина;Андреевна;жен;77;56;Toyota RAV 4;полное;0;0;0;0
Фролова;Алиса;Денисовна;жен;46;23;Skoda Octavia A7;частичное;0;0;0;0
Михайлов;Матвей;Павлович;муж;26;4;Lada Vesta;полное;0;0;0;0
Захарова;Алина;Ивановна;жен;77;28;Chevrolet NIVA;частичное;1;0;0;136012
Козлов ;Роман;Ярославович;муж;20;0;Datsun on-DO;частичное;0;0;0;0
Николаева ;Злата;Алексеевна;жен;57;39;Renault Duster;частичное;0;0;0;0
Антонов ;Егор;Денисович;муж;65;47;Lada Granta;полное;1;0;0;8146.1
Алексеев ;Евгений;Андреевич;муж;47;18;Lada Largus;частичное;1;0;0;39589.7
Антонов ;Евгений;Кириллович;муж;38;18;Lada Granta;полное;0;0;0;0
Семенова ;Елена;Ильична;жен;66;43;Hyundai Solaris;частичное;0;0;0;0
Иванов;Алексей;Алексеевич;муж;30;3;Skoda Rapid;частичное;0;0;0;0
Захарова;Алиса;Максимовна;жен;44;16;Renault Kaptur;полное;0;0;0;0
Попов;Иван;Русланович;муж;49;30;Lada X-Ray;частичное;0;0;0;0
Ковалев ;Александр;Дмитриевич;муж;26;2;Nissan Qashqai;частичное;0;0;0;0
Орлов ;Роман;Матвеевич;муж;87;66;Lada X-Ray;частичное;1;0;0;7500
Кузнецов;Алексей;Алексеевич;муж;62;38;Lada X-Ray;частичное;0;0;0;0
Павлова;Елизавета;Данииловна;жен;65;44;Lada 4x4;частичное;0;0;0;0
Иванов;Дмитрий;Аланович;муж;31;2;KIA Rio;частичное;0;0;0;0
Попов;Савелий;Сергеевич;муж;23;4;Toyota RAV 4;полное;0;0;0;0
Федорова;Милана;Данииловна;жен;35;10;KIA Rio;частичное;0;0;0;0
Яковлев ;Андрей;Константинович;муж;45;20;Hyundai Solaris;частичное;0;0;0;0
Волкова;Виктория;Андреевна;жен;76;58;Mazda CX-5;частичное;0;0;0;0
Михайлова;Ева;Романовна;жен;40;7;Datsun on-DO;частичное;0;0;0;0
Андреев ;Ярослав;Артемович;муж;42;13;Lada Granta;частичное;0;0;0;0
Сергеев ;Егор;Тимурович;муж;36;12;Lada Granta;частичное;0;0;0;0
Егорова;Александра;Данииловна;жен;23;4;Renault Logan;частичное;1;0;0;12702.3
Васильева;Елизавета;Кирилловна;жен;36;15;Hyundai Creta;частичное;0;0;0;0
Захарова;Алина;Владиславовна;жен;36;17;Lada Vesta;частичное;1;0;0;43699.9
Фролова;Арина;Руслановна;жен;25;7;VW Polo;частичное;1;0;0;150000
Петрова;Дарья;Алексеевна;жен;50;29;Lada Granta;частичное;1;0;0;75000
Алексеева ;Елизавета;Егоровна;жен;34;3;Hyundai Creta;частичное;0;1;0;110212.7
Попов;Сергей;Дмитриевич;муж;46;24;Chevrolet NIVA;частичное;0;0;0;0
Соловьев ;Игорь;Иванович;муж;53;34;Toyota RAV 4;частичное;0;0;0;0
Петров;Никита;Романович;муж;58;30;Hyundai Solaris;частичное;0;0;0;0
Новиков;Дмитрий;Никитич;муж;40;8;Renault Duster;полное;0;0;0;0
Кузнецов;Матвей;Евгеньевич;муж;23;2;KIA Rio;частичное;0;0;0;0
Волков ;Тимур;Владиславович;муж;25;7;Hyundai Creta;частичное;0;0;0;0
Дмитриева;Кристина;Тимофеевна;жен;87;53;KIA Rio;частичное;0;0;0;0
Новиков;Дмитрий;Алексеевич;муж;31;11;Hyundai Creta;частичное;0;0;0;0
Морозов ;Дмитрий;Арсеньевич;муж;79;60;Lada Granta;частичное;0;0;0;0
Михайлов;Алексей;Иванович;муж;36;12;Lada Largus;частичное;0;0;0;0
Васильева;Алина;Никитична;жен;77;54;Toyota RAV 4;частичное;0;0;0;0
Павлова;Амелия;Павловна;жен;23;3;Lada Granta;частичное;0;0;0;0
Кузнецов;Глеб;Тимурович;муж;49;16;Toyota RAV 4;полное;1;0;0;15000
Кузнецова;Вероника;Дмитриевна;жен;18;0;Renault Duster;полное;1;0;0;150000
Фролова;Анна;Андреевна;жен;29;10;KIA Rio;полное;0;0;0;0
Козлова;Полина;Максимовна;жен;32;10;VW Tiguan;частичное;0;0;0;0
Александрова ;Арина;Матвеевна;жен;68;50;VW Polo;частичное;0;0;0;0
Воробьев ;Михаил;Михайлович;муж;44;5;Skoda Rapid;частичное;1;0;0;120448.6
Борисов ;Дмитрий;Денисович;муж;29;1;Lada Granta;полное;1;0;0;66928.9
